iter	Logloss
0	0.6555421536
1	0.6215756786
2	0.5907599989
3	0.5627256016
4	0.5371232608
5	0.5137030804
6	0.492221862
7	0.4724857115
8	0.4543162619
9	0.4375791225
10	0.4221295007
11	0.4078582287
12	0.3946652439
13	0.3824621379
14	0.3711609123
15	0.360700023
16	0.3509933569
17	0.3420125693
18	0.3336662412
19	0.3259361064
20	0.3187530127
21	0.3120904492
22	0.3059031207
23	0.3001644989
24	0.2948456212
25	0.2899029612
26	0.2853221985
27	0.2810698682
28	0.2771270296
29	0.2734692291
30	0.2700736245
31	0.2669253668
32	0.2640193297
33	0.2613200725
34	0.2588210564
35	0.2565134988
36	0.2543771975
37	0.2524014441
38	0.2505821628
39	0.2488963312
40	0.2473428296
41	0.2459021331
42	0.2445791356
43	0.2433592977
44	0.2422333343
45	0.2411966854
46	0.240238482
47	0.2393611689
48	0.2385454541
49	0.2378036419
50	0.2371231808
51	0.2364960631
52	0.2359190514
53	0.2353968598
54	0.2349105918
55	0.2344551713
56	0.2340436724
57	0.2336761736
58	0.2333312564
59	0.2330143343
60	0.2327323431
61	0.2324713623
62	0.2322310739
63	0.2320135226
64	0.2318100005
65	0.2316282128
66	0.2314617026
67	0.2313098894
68	0.2311596306
69	0.2310349858
70	0.2309192908
71	0.2308141872
72	0.2307197256
73	0.2306330304
74	0.2305518126
75	0.2304733145
76	0.2304057197
77	0.2303462138
78	0.2302931559
79	0.230235723
80	0.2301929403
81	0.230153533
82	0.2301017079
83	0.2300572781
84	0.2300270527
85	0.2299927113
86	0.2299605478
87	0.2299396574
88	0.229917128
89	0.2298974002
90	0.2298723994
91	0.2298579474
92	0.2298461883
93	0.2298320222
94	0.2298166632
95	0.2298017078
96	0.2297915782
97	0.2297855763
98	0.2297722682
99	0.2297615555
