iter	Passed	Remaining
0	20	1990
1	26	1301
2	31	1032
3	39	946
4	44	853
5	50	797
6	55	738
7	59	688
8	67	678
9	71	639
10	75	610
11	80	586
12	84	568
13	90	556
14	96	547
15	103	545
16	111	542
17	117	535
18	123	524
19	128	513
20	133	501
21	139	494
22	146	489
23	151	479
24	157	473
25	164	468
26	169	457
27	174	449
28	180	442
29	185	431
30	191	425
31	198	422
32	204	414
33	211	410
34	218	405
35	224	398
36	229	390
37	236	386
38	242	379
39	247	371
40	252	362
41	257	355
42	263	348
43	267	340
44	273	333
45	278	326
46	282	318
47	287	311
48	294	306
49	299	299
50	303	291
51	308	284
52	314	278
53	318	271
54	322	263
55	329	259
56	335	253
57	342	247
58	348	242
59	356	237
60	360	230
61	365	224
62	371	218
63	377	212
64	383	206
65	390	200
66	394	194
67	400	188
68	408	183
69	414	177
70	421	172
71	426	165
72	432	159
73	438	154
74	443	147
75	449	142
76	455	136
77	460	129
78	466	123
79	472	118
80	477	112
81	482	105
82	490	100
83	497	94
84	501	88
85	509	82
86	516	77
87	521	71
88	527	65
89	533	59
90	539	53
91	544	47
92	550	41
93	554	35
94	559	29
95	567	23
96	572	17
97	578	11
98	584	5
99	591	0
